,ID,0,1,2,3,4,5,6,7
915,1668,Action,Crime,Thriller,,,,,
921,1688,Drama,Mystery,Thriller,,,,,
922,1689,Action,Adventure,Horror,Sci-Fi,Thriller,,,
923,1690,Horror,Mystery,,,,,,
924,1691,Crime,Horror,Mystery,Thriller,,,,
926,1702,Drama,,,,,,,
927,1704,Comedy,Drama,Romance,,,,,
930,1709,Crime,Drama,Thriller,,,,,
931,1710,Horror,Mystery,Thriller,,,,,
933,1717,Action,Comedy,,,,,,
936,1723,Horror,Thriller,,,,,,
938,1731,Action,Thriller,,,,,,
942,1744,Drama,Fantasy,Horror,Mystery,Thriller,,,
945,1752,Action,Adventure,Comedy,Family,Sci-Fi,,,
950,1766,Documentary,,,,,,,
955,1790,Drama,,,,,,,
957,1802,Drama,History,,,,,,
964,1817,Comedy,Romance,,,,,,
967,1834,Drama,,,,,,,
975,1871,Documentary,,,,,,,
978,1881,Action,Crime,Thriller,,,,,
979,1895,Action,Adventure,Comedy,,,,,
991,1934,Drama,Mystery,Thriller,,,,,
994,1948,Action,Adventure,Fantasy,,,,,
1001,1974,Action,Comedy,,,,,,
1006,2003,Comedy,,,,,,,
1009,2011,Comedy,Drama,Family,Sport,,,,
1011,2017,Crime,Thriller,,,,,,
1016,2036,Action,Adventure,Comedy,Family,Fantasy,,,
1025,2082,Animation,Adventure,Comedy,Family,,,,
1037,2124,Action,Drama,War,,,,,
1038,2129,Crime,Drama,Sci-Fi,,,,,
1042,2141,Action,Crime,Drama,Thriller,,,,
1043,2143,Action,Adventure,Drama,Fantasy,,,,
1045,2146,Adventure,Family,Mystery,,,,,
1048,2164,Documentary,,,,,,,
1049,2166,Documentary,,,,,,,
1055,2197,Thriller,,,,,,,
1057,2206,Crime,Drama,Mystery,Thriller,,,,
1065,2238,Documentary,,,,,,,
1067,2257,Action,,,,,,,
1072,2304,Comedy,,,,,,,
1074,2317,Action,Drama,Horror,Sci-Fi,Thriller,War,,
1075,2320,Documentary,Crime,Drama,Horror,Mystery,,,
1077,2333,Comedy,Drama,Romance,,,,,
1082,2350,Drama,,,,,,,
1083,2357,Comedy,Drama,,,,,,
1086,2361,Documentary,Short,,,,,,
1091,2397,Drama,Horror,Mystery,Thriller,,,,
1092,2398,Horror,,,,,,,
1093,2401,Documentary,,,,,,,
