586,Romance,4
586,Sport,19
587,Drama,1
588,Action,5
588,Drama,1
588,Thriller,3
588,War,17
591,Comedy,2
591,Drama,1
591,Romance,4
598,Drama,1
598,Fantasy,13
598,Horror,6
598,Thriller,3
600,Documentary,11
603,Comedy,2
603,Drama,1
603,Romance,4
608,Drama,1
608,Family,9
610,Documentary,11
610,Biography,14
610,Sport,19
611,Comedy,2
611,Sci-Fi,12
614,Biography,14
614,Drama,1
615,Action,5
615,Crime,7
615,Drama,1
615,Thriller,3
620,Action,5
620,Crime,7
620,Drama,1
620,Sci-Fi,12
622,Drama,1
636,Biography,14
636,Drama,1
636,History,15
636,War,17
637,Drama,1
640,Drama,1
640,Romance,4
640,War,17
645,Horror,6
645,Thriller,3
650,Action,5
650,Sci-Fi,12
658,Documentary,11
659,Action,5
659,Drama,1
659,Sci-Fi,12
659,Thriller,3
672,Horror,6
672,Mystery,10
672,Thriller,3
680,Action,5
680,Crime,7
680,Thriller,3
683,Comedy,2
683,Family,9
684,Drama,1
701,Crime,7
701,Mystery,10
701,Sci-Fi,12
701,Thriller,3
702,Adventure,8
702,Comedy,2
702,Drama,1
702,Family,9
702,Fantasy,13
705,Crime,7
705,Drama,1
705,Thriller,3
706,Drama,1
707,Comedy,2
707,Drama,1
712,Crime,7
712,Drama,1
712,Horror,6
712,Mystery,10
712,Thriller,3
716,Comedy,2
716,Crime,7
716,Drama,1
716,Fantasy,13
716,Mystery,10
716,Thriller,3
717,Horror,6
717,Thriller,3
728,Animation,16
728,Adventure,8
728,Comedy,2
728,Family,9
728,Fantasy,13
737,Action,5
737,Adventure,8
737,Comedy,2
737,Crime,7
741,Comedy,2
741,Drama,1
741,Romance,4
744,Drama,1
744,Thriller,3
745,Drama,1
745,Mystery,10
745,Romance,4
745,Thriller,3
748,Documentary,11
748,Crime,7
749,Comedy,2
749,Drama,1
749,Romance,4
760,Adventure,8
760,Drama,1
760,Horror,6
760,Thriller,3
769,Comedy,2
769,Fantasy,13
769,Horror,6
769,Thriller,3
774,Action,5
774,Adventure,8
774,Sci-Fi,12
779,Drama,1
779,Fantasy,13
779,Horror,6
779,Thriller,3
789,Comedy,2
795,Action,5
795,Adventure,8
795,Fantasy,13
795,Horror,6
795,Sci-Fi,12
795,Thriller,3
799,Action,5
799,Drama,1
799,Western,20
803,Adventure,8
803,Drama,1
803,History,15
813,Comedy,2
813,Drama,1
825,Action,5
825,Adventure,8
