ID,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
951,0.886,0.623,0.0757,98.091,0.0897,0.812,0.11,-10.094,0.0424
978,0.649,0.479,0.445,130.017,0.102,0.928,0.0582,-14.151,0.0318
986,0.911,0.189,0.248,135.02,0.0367,0.792,0.131,-14.685,0.0352
991,0.76,0.463,0.29,117.916,0.297,0.595,0.051,-13.661,0.0398
1004,0.981,0.379,0.129,123.381,0.0488,0.713,0.122,-23.122,0.041
1009,0.00882,0.785,0.832,115.992,0.861,1.72E-06,0.0879,-9.1,0.132
1013,0.316,0.24,0.596,69.364,0.0846,0.835,0.094,-9.342,0.078
1016,7.84E-06,0.375,0.915,165.023,0.279,0.868,0.0819,-6.752,0.0452
1036,0.522,0.75,0.667,119.977,0.0559,0.772,0.132,-9.281,0.0476
1053,0.00444,0.681,0.933,130.02,0.896,0.886,0.0944,-9.039,0.0389
1054,0.991,0.14,0.047,65.611,0.035,0.93,0.106,-27.891,0.0421
1055,0.271,0.362,0.287,116.885,0.032,0.928,0.0956,-15.315,0.042
1057,0.92,0.287,0.0991,113.041,0.118,0.885,0.1,-26.459,0.0374
1064,0.685,0.688,0.422,136.058,0.776,0.937,0.106,-18.395,0.0438
1069,0.0204,0.423,0.951,78.78,0.768,0.000369,0.331,-1.726,0.118
1071,0.558,0.162,0.034,107.745,0.0351,0.884,0.202,-19.77,0.0367
1076,0.914,0.22,0.0911,88.148,0.0353,0.9,0.114,-26.881,0.0341
1090,0.913,0.679,0.18,125.951,0.338,0.368,0.0934,-17.492,0.0383
1100,0.933,0.299,0.137,74.88,0.161,0.928,0.094,-16.959,0.0344
1114,0.981,0.327,0.075,131.967,0.0454,0.92,0.271,-20.981,0.0375
1118,0.748,0.505,0.206,129.633,0.284,8.68E-05,0.114,-13.03,0.0314
1122,0.386,0.459,0.44,122.027,0.0629,0.579,0.22,-15.244,0.0312
1124,0.0142,0.753,0.823,95.958,0.614,0.922,0.0399,-7.542,0.0546
1127,0.663,0.0649,0.199,59.537,0.0332,0.927,0.341,-14.764,0.0369
1145,0.864,0.329,0.123,129.43,0.0598,0.897,0.097,-22.975,0.0367
1152,0.327,0.488,0.548,90.026,0.14,0.189,0.101,-13.788,0.0553
1157,0.937,0.677,0.418,140.019,0.783,0.631,0.112,-12.706,0.0294
1171,0.823,0.607,0.268,94.139,0.173,3.43E-06,0.0997,-13.474,0.0324
1175,0.716,0.57,0.442,73.963,0.53,0.000788,0.0922,-9.656,0.043
1177,0.809,0.405,0.298,94.679,0.0943,0.0908,0.466,-13.097,0.0324
1190,0.969,0.584,0.0758,59.151,0.191,0.87,0.105,-19.194,0.0451
1200,0.271,0.797,0.497,96.001,0.374,0,0.0966,-5.496,0.0273
1212,0.894,0.0866,0.0706,167.793,0.0373,0.58,0.101,-26.115,0.0408
1222,0.228,0.189,0.0782,150.167,0.0377,0.864,0.0847,-22.13,0.0455
1233,0.933,0.102,0.0677,216.429,0.0639,0.782,0.0873,-35.073,0.0625
1237,0.284,0.265,0.561,160.05,0.0391,0.794,0.0674,-12.405,0.0423
1241,0.302,0.537,0.501,80.235,0.233,0.671,0.0878,-13.386,0.081
1247,0.0643,0.201,0.329,118.566,0.0331,0.867,0.21,-16.767,0.0371
1273,0.949,0.231,0.227,134.361,0.0815,0.811,0.0858,-18.556,0.0364
1281,0.225,0.773,0.724,89.97,0.817,1.07E-05,0.0482,-5.487,0.15
1290,0.848,0.0884,0.181,166.19,0.127,0.982,0.132,-17.875,0.0353
1301,0.616,0.248,0.177,117.289,0.0399,0.654,0.0851,-20.45,0.0368
1321,0.461,0.692,0.532,80.01,0.724,0,0.0938,-6.841,0.0791
1324,0.994,0.152,0.132,184.145,0.244,0.957,0.0864,-14.562,0.0595
1333,0.915,0.194,0.249,68.101,0.255,0.865,0.0988,-23.406,0.051
1347,0.796,0.129,0.183,145.554,0.0262,0.936,0.108,-19.516,0.0459
1353,0.247,0.339,0.381,104.908,0.0542,0.796,0.277,-12.936,0.0359
1360,0.0432,0.657,0.491,140.024,0.545,0.928,0.126,-12.275,0.028
1365,0.141,0.0704,0.475,67.706,0.0392,0.939,0.0928,-11.915,0.0394
1368,0.92,0.614,0.244,139.508,0.062,0.936,0.101,-18.866,0.0771
1369,0.535,0.293,0.382,139.216,0.104,0.383,0.0824,-10.824,0.0339
1387,0.95,0.176,0.0887,71.215,0.164,0.65,0.0872,-31.601,0.0534
1409,0.573,0.568,0.427,119.999,0.141,0.872,0.098,-13.386,0.0303
1420,0.0161,0.594,0.719,109.993,0.165,9.55E-06,0.338,-5.677,0.0324
1421,0.743,0.0637,0.199,69.471,0.0261,0.811,0.105,-19.03,0.0459
1428,0.00406,0.578,0.823,110.003,0.0258,0.896,0.0907,-9.184,0.0373
1430,0.0406,0.77,0.666,136.004,0.74,4.10E-06,0.183,-7.232,0.0608
1437,0.99,0.17,0.0545,128.198,0.04,0.896,0.507,-30.603,0.0425
1439,0.744,0.499,0.541,81.198,0.381,0.00167,0.0579,-10.463,0.0448
