,ID,title,music_director,album_name,track_name,preview_url,popularity,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
103,140,The Croods,Alan Silvestri,The Croods (Original Motion Picture Soundtrack),Shine Your Way,https://p.scdn.co/mp3-preview/7927c803afff53657dda54bdc7b6b1a27f080887?cid=0e18970867524f1fba6634279dd9e5b2,0,0.00796,0.694,0.443,120.019,0.642,0,0.0731,-8.136,0.0456
104,141,Locke,Dickon Hinchliffe,Locke (The Original Motion Picture Soundtrack),Baby,,22,0.324,0.44,0.27,125.969,0.039,0.927,0.164,-15.21,0.0376
105,143,Starred Up,Tony Doogan,Starred Up (Original Motion Picture Soundtrack),End Piece,https://p.scdn.co/mp3-preview/1b3c23d456df39ece65f3a87ca47ac5909a438cd?cid=0e18970867524f1fba6634279dd9e5b2,9,0.171,0.481,0.464,103.97,0.168,0.163,0.13,-9.392,0.0256
106,144,Mudbound,Tamar-kali,Mudbound (Original Motion Picture Soundtrack),Mighty River,https://p.scdn.co/mp3-preview/bc9e86c9bc559079bb12ae0c9eb8b10e00317580?cid=0e18970867524f1fba6634279dd9e5b2,19,0.479,0.276,0.261,73.174,0.322,0,0.158,-13.47,0.0475
108,146,Blue Ruin,Brooke Blair,Blue Ruin (Original Score),Bad News,https://p.scdn.co/mp3-preview/5847ca8abb162e511cac956630c845d6e8862deb?cid=0e18970867524f1fba6634279dd9e5b2,5,0.988,0.135,0.00168,141.561,0.0372,0.957,0.135,-26.908,0.0708
112,155,Haider,Vishal Bhardwaj,Haider - Original Background Score,Haider Theme,https://p.scdn.co/mp3-preview/21c5692cb1add3720c63ad52d62cd4ad0b0572a9?cid=0e18970867524f1fba6634279dd9e5b2,5,0.972,0.27,0.105,89.963,0.0313,0.963,0.0745,-16.279,0.0378
113,157,Hush,The Newton Brothers,Hush (Original Motion Picture Soundtrack),Against the Odds (End Credits),https://p.scdn.co/mp3-preview/5a36d2f96a7fa4128f372a086a341d418e0fd887?cid=0e18970867524f1fba6634279dd9e5b2,15,0.567,0.2,0.191,119.905,0.0398,0.738,0.115,-18.767,0.0363
114,158,Elizabeth,David Hirschfelder,Elizabeth - Original Soundtrack,Dansereye (1551): Rondes I & VII,,22,0.935,0.551,0.0551,128.569,0.734,0.155,0.152,-32.128,0.0352
118,164,The Autopsy of Jane Doe,Danny Bensi,The Autopsy of Jane Doe (Original Motion Picture Soundtrack),Jane Doe,https://p.scdn.co/mp3-preview/ec2f27ad6aea7b1fd8fc2154a77b90109242bb78?cid=0e18970867524f1fba6634279dd9e5b2,13,0.688,0.126,0.0967,147.773,0.0388,0.893,0.105,-24.686,0.0393
119,165,Virunga,Patrick Jonsson,Virunga (Original Motion Picture Soundtrack),Virunga National Park,,10,0.97,0.424,0.252,130.111,0.0359,0.917,0.103,-15.392,0.0346
121,167,The Master,Jonny Greenwood,The Master: Original Motion Picture Soundtrack,No Other Love (feat. Jo Stafford),https://p.scdn.co/mp3-preview/603d84b0e067c1b39a3876506dd28336bfd34976?cid=0e18970867524f1fba6634279dd9e5b2,37,0.975,0.418,0.0585,98.185,0.236,0.00287,0.115,-15.772,0.0329
122,168,A Serious Man,Carter Burwell,A Serious Man (Original Motion Picture Soundtrack),A Serious Man,https://p.scdn.co/mp3-preview/f191d6daaf4f847e1ef1aec01843db4264516a17?cid=0e18970867524f1fba6634279dd9e5b2,14,0.823,0.238,0.105,156.519,0.0754,0.671,0.096,-20.754,0.0388
123,170,The Breadwinner,Mychael Danna,The Breadwinner (Original Motion Picture Soundtrack),The Land of the Noble,https://p.scdn.co/mp3-preview/d019f038affc36a8aa1abd9cad81cc395d97ceec?cid=0e18970867524f1fba6634279dd9e5b2,13,0.497,0.636,0.296,120,0.0695,0.968,0.132,-16.046,0.0346
124,171,The Boy Who Harnessed the Wind,Antonio Pinto,窯ⓦ굮?ㅳ걢?얇걟?잌컩亮?(The Boy Who Harnessed the Wind) [Original Soundtrack],訝??겎,https://p.scdn.co/mp3-preview/8a1a4ae630e27a6e6d10f16a2a5d99d8acd4b2a4?cid=0e18970867524f1fba6634279dd9e5b2,0,0.676,0.163,0.32,85.258,0.0339,0.579,0.127,-14.166,0.0397
126,174,Lawless,Nick Cave,Lawless,"Fire in the Blood / Snake Song (feat. Emmylou Harris, feat. Ralph Stanley)",https://p.scdn.co/mp3-preview/00d8b1136d9a5e8176d3b4adfa39da1a984a22ab?cid=0e18970867524f1fba6634279dd9e5b2,36,0.641,0.32,0.172,150.979,0.163,0.0017,0.192,-11.935,0.0301
129,179,The Mask of Zorro,James Horner,The Mask of Zorro - Music from the Motion Picture,Quiero Vivir La Vida Amandote,https://p.scdn.co/mp3-preview/4ed180b6394d4745fa03be2b548a35f336f12c37?cid=0e18970867524f1fba6634279dd9e5b2,21,0.614,0.4,0.469,107.621,0.146,0,0.339,-11.27,0.0331
130,180,The Natural,Randy Newman,The Natural,The Natural,https://p.scdn.co/mp3-preview/1621792878dde40765aa4f5d8986e1f83f5cbffe?cid=0e18970867524f1fba6634279dd9e5b2,22,0.192,0.201,0.263,77.416,0.165,5.99E-05,0.0999,-17.928,0.0331
132,182,Arthur Christmas,Harry Gregson-Williams,Arthur Christmas - Original Motion Picture Soundtrack,Make Someone Happy,https://p.scdn.co/mp3-preview/2fade0d47abac494bd7eaade5efe26a6e50e2851?cid=0e18970867524f1fba6634279dd9e5b2,33,0.616,0.382,0.434,114.068,0.484,2.88E-06,0.0455,-10.688,0.0356
135,187,War Horse,John Williams,War Horse,The Reunion,https://p.scdn.co/mp3-preview/23c0bf7032ee7bdf1ac4500f8d9ffc3e9f8dff8b?cid=0e18970867524f1fba6634279dd9e5b2,37,0.981,0.144,0.0298,102.489,0.0342,0.921,0.174,-27.002,0.0429
137,190,A Most Violent Year,Alex Ebert,A Most Violent Year (Original Music From and Inspired By),America For Me,https://p.scdn.co/mp3-preview/99288b5f1852e300c85e0e478535bd47e6ee0229?cid=0e18970867524f1fba6634279dd9e5b2,16,0.785,0.442,0.239,154.132,0.19,0.578,0.115,-16.335,0.112
140,195,Insidious,Joseph Bishara,Insidious: Chapter 3 (Original Motion Picture Score),visit from Light,https://p.scdn.co/mp3-preview/e0b94c49bacac01d37c4c31b007d25c55feeb8a5?cid=0e18970867524f1fba6634279dd9e5b2,12,0.00764,0.164,0.416,86.464,0.0354,0.795,0.096,-12.763,0.0366
141,198,The Foreigner,Cliff Martinez,The Foreigner (Original Motion Picture Soundtrack),Landscape Gardener - OMPS Edit,https://p.scdn.co/mp3-preview/76a6fc59a57951fdcd1567d3e2535a3cb07f7ac9?cid=0e18970867524f1fba6634279dd9e5b2,17,0.493,0.416,0.546,180.044,0.0336,0.936,0.087,-11.812,0.0522
142,199,The Danish Girl,Alexandre Desplat,The Danish Girl (Original Motion Picture Soundtrack),The Danish Girl,,52,0.933,0.189,0.18,102.497,0.0569,0.577,0.259,-18.694,0.0326
144,201,Bird Box,Trent Reznor,Bird Box (Abridged) [Original Score],Undercurrents,https://p.scdn.co/mp3-preview/8c91f04688142957fffcdb8f520eb060c4efe148?cid=0e18970867524f1fba6634279dd9e5b2,19,0.782,0.188,0.468,114.146,0.0367,0.925,0.0823,-9.132,0.0447
145,203,Hostiles,Max Richter,Hostiles (Original Motion Picture Soundtrack),Never Goodbye,,38,0.513,0.135,0.0233,63.008,0.0352,0.909,0.0601,-16.648,0.0429
146,206,LA 92,Danny Bensi,LA 92 (Original Soundtrack Album),Looting,https://p.scdn.co/mp3-preview/04cd90176531ed7a8f692bfa8d7cf4d3a06eb248?cid=0e18970867524f1fba6634279dd9e5b2,7,0.956,0.847,0.0552,122.068,0.0411,0.904,0.0919,-23.604,0.0688
150,211,A Ghost Story,Daniel Hart,A Ghost Story (Original Motion Picture Soundtrack),I Get Overwhelmed,https://p.scdn.co/mp3-preview/d29537c6934fa33808418f7069495d38cd8d5e95?cid=0e18970867524f1fba6634279dd9e5b2,21,0.662,0.226,0.512,78.624,0.25,0.000616,0.136,-9.404,0.054
151,212,United 93,John Powell,United 93 (Original Motion Picture Soundtrack),The End,,16,0.0738,0.0953,0.372,179.421,0.0503,0.755,0.0972,-16.812,0.0411
155,217,Enemy,Danny Bensi,Enemy (Original Soundtrack Album),The Dark Room,https://p.scdn.co/mp3-preview/90093aaf1c0850117f37901718b6baec7ff47041?cid=0e18970867524f1fba6634279dd9e5b2,13,0.608,0.154,0.162,75.174,0.034,0.877,0.0947,-18.942,0.0416
157,220,Indiana Jones and the Kingdom of the Crystal Skull,John Williams,Indiana Jones and the Kingdom of the Crystal Skull (Original Motion Picture Soundtrack),Raiders March,,54,0.73,0.422,0.351,132.317,0.168,0.904,0.0784,-13.002,0.0352
163,227,Angel Has Fallen,David Buckley,Angel Has Fallen (Original Motion Picture Soundtrack),No More Secrets,https://p.scdn.co/mp3-preview/d181bca86a1c8008af298dd0f258cb189f02b61b?cid=0e18970867524f1fba6634279dd9e5b2,9,0.548,0.159,0.145,75.425,0.0315,0.832,0.0853,-16.816,0.0374
165,229,Mary Poppins Returns,Marc Shaiman,Disney Sing-Along: Mary Poppins Returns,A Conversation,,23,0.973,0.256,0.017,111.302,0.106,0.0544,0.0961,-29.288,0.0407
169,235,American Factory,Chad Cannon,American Factory (A Netflix Original Documentary Soundtrack),The Chill in This Air,https://p.scdn.co/mp3-preview/ba22627fea09ffffb2d2290e4291fa4d0a5d810f?cid=0e18970867524f1fba6634279dd9e5b2,8,0.567,0.2,0.134,122.191,0.0471,0.974,0.107,-17.548,0.0429
170,236,Code 8,Ryan Taubert,Code 8 (Original Motion Picture Soundtrack),Drifting,https://p.scdn.co/mp3-preview/c508ee8f9b650ef1a9ee465e2d6bebcd16684722?cid=0e18970867524f1fba6634279dd9e5b2,40,0.845,0.541,0.252,101.825,0.302,0.000383,0.165,-15.109,0.0322
171,237,Salt,James Newton Howard,Salt (Original Motion Picture Score),Go Get Em,https://p.scdn.co/mp3-preview/e9c231278c208f1427354c038965bef9b93e5c5b?cid=0e18970867524f1fba6634279dd9e5b2,12,0.015,0.53,0.49,90.395,0.0777,0.95,0.0983,-15.367,0.0357
172,238,The Hundred-Foot Journey,A.R. Rahman,The Hundred-Foot Journey (Original Motion Picture Soundtrack),Afreen,,27,0.0594,0.591,0.8,101,0.404,6.11E-05,0.192,-6.972,0.0725
173,241,Chasing Coral,Saul Simon MacWilliams,Chasing Coral (Original Motion Picture Soundtrack),Tell Me How Long,https://p.scdn.co/mp3-preview/c167f83f632ee9dc4edee1107979beb298756726?cid=0e18970867524f1fba6634279dd9e5b2,30,0.0617,0.378,0.612,76.74,0.27,0,0.105,-6.282,0.0403
175,243,The One I Love,Danny Bensi,The One I Love (Original Motion Picture Soundtrack),The Arrival,https://p.scdn.co/mp3-preview/9664dd4b24011f690ad54196723528171e41ef4d?cid=0e18970867524f1fba6634279dd9e5b2,1,0.939,0.462,0.0904,97.951,0.0338,0.826,0.117,-23.027,0.0364
178,249,The Willoughbys,Mark Mothersbaugh,The Willoughbys (Music from the Netflix Film),The Willoughby Boogie,https://p.scdn.co/mp3-preview/e878fa20f1265e5e30338053e469ff3464d376c6?cid=0e18970867524f1fba6634279dd9e5b2,23,0.383,0.777,0.338,170.286,0.801,0.888,0.103,-11.341,0.0684
179,250,The White Helmets,Patrick Jonsson,The White Helmets (Original Motion Picture Soundtrack),Hope,https://p.scdn.co/mp3-preview/37f6ad04025034b5def3a1cc3e965a37a565b73d?cid=0e18970867524f1fba6634279dd9e5b2,21,0.816,0.145,0.23,78.309,0.0327,0.941,0.0771,-17.905,0.0408
184,258,The Battered Bastards of Baseball,Brocker Way,The Battered Bastards of Baseball,Man with a Broom (Make Us a Show),https://p.scdn.co/mp3-preview/4e46d25655423f7c1b6a1edd20c44b1a05c6737b?cid=0e18970867524f1fba6634279dd9e5b2,14,0.689,0.344,0.482,171.896,0.16,0,0.112,-8.685,0.047
187,261,Sinister,Christopher Young,Sinister (Original Motion Picture Soundtrack),Sinister,,22,0.72,0.482,0.533,127.983,0.157,0.913,0.46,-9.209,0.058
188,264,The Stanford Prison Experiment,Andrew Hewitt,The Stanford Prison Experiment (Original Motion Picture Soundtrack),Opening Titles,https://p.scdn.co/mp3-preview/cf614e7361b9951fe77d6df03e6e3e5d7a82b8f1?cid=0e18970867524f1fba6634279dd9e5b2,1,0.918,0.608,0.61,124.982,0.162,0.877,0.0887,-10.922,0.0335
