ID,title,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness,cluster,feature_list
3023,Autumn,0.766062834,0.091841235,0.131102022,0.781360169,0.074922919,0.779116466,0.11033275,0.680243073,0.038768898,3,"[0.7660628336754741, 0.09184123484013228, 0.13110202209856964, 0.7813601689237579, 0.0749229188078109, 0.7791164658634537, 0.11033274956217162, 0.6802430731389713, 0.03876889848812095]"
3188,Jefe,0.086841834,0.793825799,0.826019271,0.503804943,0.783144913,3.82E-06,0.181552831,0.886469411,0.043412527,1,"[0.08684183359589517, 0.7938257993384784, 0.8260192706285332, 0.5038049429605089, 0.7831449126413155, 3.8152610441767074e-06, 0.18155283129013425, 0.8864694108852396, 0.04341252699784017]"
3234,Follow Me,0.20079835,0.299889746,0.493142846,0.407681041,0.036690647,0.887550201,0.283129013,0.64990716,0.061555076,0,"[0.2007983502389583, 0.2998897464167585, 0.4931428462241657, 0.40768104089562857, 0.0366906474820144, 0.8875502008032129, 0.28312901342673674, 0.6499071595649761, 0.06155507559395248]"
3325,Rumble,7.47E-06,0.513781698,0.728469382,0.60069584,0.551901336,0.158634538,0.100992411,0.829414744,0.032613391,1,"[7.4699249676157666e-06, 0.5137816979051819, 0.7284693819058031, 0.6006958402062569, 0.5519013360739979, 0.15863453815261044, 0.10099241097489783, 0.8294147435433696, 0.0326133909287257]"
3365,MindGamers,0.9909638,0.216097023,0.064325603,0.312873968,0.041007194,0.977911647,0.257443082,0.493766428,0.035421166,3,"[0.9909638004424004, 0.21609702315325247, 0.06432560342651528, 0.3128739679063342, 0.04100719424460431, 0.9779116465863454, 0.2574430823117338, 0.4937664279341194, 0.035421166306695465]"
3377,Undercover Brother 2,0.165657574,1,0.757633782,0.554135536,0.886947585,0.013855422,0.1255108,0.88690347,0.136069114,1,"[0.16565757418162608, 1.0, 0.7576337816270317, 0.5541355363652745, 0.8869475847893113, 0.013855421686746987, 0.12551079976649154, 0.8869034700619739, 0.13606911447084233]"
3561,The Dark Knight,0.514053268,0.174200662,0.280946697,0.451912636,0.038540596,0.675702811,0.095154699,0.638693964,0.046112311,3,"[0.5140532682357486, 0.17420066152149946, 0.2809466965283302, 0.4519126364766274, 0.038540596094552924, 0.6757028112449799, 0.09515469935785173, 0.6386939641660034, 0.046112311015118784]"
3563,Parasite,0.575298621,0.342888644,0.227646242,0.429854594,0.2004111,0.474899598,0.086981903,0.720104174,0.039848812,2,"[0.5752986207928132, 0.3428886438809261, 0.22764624186539525, 0.4298545943473379, 0.20041109969167525, 0.4748995983935743, 0.08698190309398715, 0.7201041742024161, 0.0398488120950324]"
3564,Good Will Hunting,0.872489184,0.222712238,0.281952365,0.487503985,0.180883864,0.914658635,0.086981903,0.639947913,0.033045356,3,"[0.8724891840205375, 0.2227122381477398, 0.28195236548423463, 0.4875039851406235, 0.18088386433710174, 0.9146586345381528, 0.08698190309398715, 0.6399479128987917, 0.033045356371490274]"
3566,Batman Begins,0.850400696,0.135611907,0.072069254,0.693155723,0.037410072,0.936746988,0.064448336,0.389085823,0.042548596,3,"[0.8504006962130715, 0.13561190738699005, 0.07206925438697942, 0.6931557231239807, 0.03741007194244605, 0.9367469879518072, 0.06444833625218913, 0.38908582314499984, 0.042548596112311016]"
3569,Zombieland,0.001208782,0.570011025,0.986926304,0.665890431,0.436793422,0.620481928,0.161704612,0.941257325,0.079913607,0,"[0.001208782455041845, 0.5700110253583239, 0.9869263035732424, 0.6658904305800054, 0.4367934224049332, 0.6204819277108434, 0.16170461179217746, 0.9412573247486072, 0.07991360691144707]"
3570,A Quiet Place,0.655620395,0.102976847,0.124062339,0.38573851,0.039054471,0.832329317,0.072037361,0.526947841,0.037473002,3,"[0.6556203946381441, 0.10297684674751928, 0.1240623394072386, 0.3857385100887589, 0.039054470709146964, 0.8323293172690764, 0.0720373613543491, 0.5269478405555956, 0.03747300215982721]"
3576,Hunt for the Wilderpeople,0.058126799,0.800441014,0.74958843,0.57753351,1,0.009056225,0.092819615,0.824447177,0.033045356,1,"[0.05812679944618941, 0.8004410143329657, 0.7495884299797962, 0.577533509834634, 1.0, 0.009056224899598394, 0.09281961471103327, 0.8244471774096311, 0.033045356371490274]"
3580,The Conjuring,0.892569627,0.219404631,0.293014724,0.367108844,0.074717369,0.526104418,0.091652072,0.430707275,0.044168467,3,"[0.8925696274818702, 0.21940463065049606, 0.2930147239991834, 0.36710884400888977, 0.07471736896197329, 0.5261044176706828, 0.09165207238762403, 0.43070727531409, 0.04416846652267818]"
