id,title,year,query_title,movie_url
4691,The Secret of Roan Inish,1995,The+Secret+of+Roan+Inish,0
4697,The King's Choice,2016,The+King%27s+Choice,0
4707,Dead Snow 2: Red vs. Dead,2014,Dead+Snow+2%3A+Red+vs.+Dead,0
4712,Draft Day,2014,Draft+Day,/movie/bi/mi/basic.naver?code=110649
4716,The Battery,2012,The+Battery,/movie/bi/mi/basic.naver?code=110026
4718,"Don't Worry, He Won't Get Far on Foot",2018,Don%27t+Worry%2C+He+Won%27t+Get+Far+on+Foot,0
4727,Dark Water,2002,Dark+Water,/movie/bi/mi/basic.naver?code=34520
4729,Becoming Astrid,2018,Becoming+Astrid,0
4730,The Snow Walker,2003,The+Snow+Walker,/movie/bi/mi/basic.naver?code=39568
4734,Rambo: Last Blood,2019,Rambo%3A+Last+Blood,/movie/bi/mi/basic.naver?code=129282
4740,The Man with the Golden Arm,1955,The+Man+with+the+Golden+Arm,/movie/bi/mi/basic.naver?code=29875
4742,A Private War,2018,A+Private+War,/movie/bi/mi/basic.naver?code=172790
4747,Last Days in Vietnam,2014,Last+Days+in+Vietnam,/movie/bi/mi/basic.naver?code=119277
4758,Grey Gardens,2009,Grey+Gardens,/movie/bi/mi/basic.naver?code=53009
4761,Macbeth,2015,Macbeth,/movie/bi/mi/basic.naver?code=113364
4771,My Friend Dahmer,2017,My+Friend+Dahmer,/movie/bi/mi/basic.naver?code=162373
4803,Stake Land,2010,Stake+Land,/movie/bi/mi/basic.naver?code=78624
4812,Like Crazy,2011,Like+Crazy,0
4815,Changing Lanes,2002,Changing+Lanes,/movie/bi/mi/basic.naver?code=34923
4818,Agora,2009,Agora,/movie/bi/mi/basic.naver?code=53052
4833,Troop Zero,2019,Troop+Zero,0
4834,Salmon Fishing in the Yemen,2012,Salmon+Fishing+in+the+Yemen,0
4843,Maidentrip,2014,Maidentrip,0
4848,Last Cab to Darwin,2015,Last+Cab+to+Darwin,/movie/bi/mi/basic.naver?code=139866
4850,The Plague Dogs,1982,The+Plague+Dogs,/movie/bi/mi/basic.naver?code=190222
4856,Fan,2016,Fan,/movie/bi/mi/basic.naver?code=119546
4858,Light of My Life,2019,Light+of+My+Life,/movie/bi/mi/basic.naver?code=171521
4879,The Long Riders,1980,The+Long+Riders,/movie/bi/mi/basic.naver?code=11621
4880,Any Day Now,2012,Any+Day+Now,0
4892,We Are Still Here,2015,We+Are+Still+Here,/movie/bi/mi/basic.naver?code=138070
4896,A Girl Like Her,2015,A+Girl+Like+Her,/movie/bi/mi/basic.naver?code=126057
4911,The Connection,2014,The+Connection,0
4921,Fast Color,2019,Fast+Color,0
4923,Dick Tracy,1990,Dick+Tracy,/movie/bi/mi/basic.naver?code=10817
4928,We Are Legion: The Story of the Hacktivists,2012,We+Are+Legion%3A+The+Story+of+the+Hacktivists,/movie/bi/mi/basic.naver?code=95434
4940,Chuck Norris vs Communism,2015,Chuck+Norris+vs+Communism,0
4945,The Hole in the Ground,2019,The+Hole+in+the+Ground,/movie/bi/mi/basic.naver?code=182082
4962,The Midnight Meat Train,2008,The+Midnight+Meat+Train,/movie/bi/mi/basic.naver?code=67883
4981,Finders Keepers,2015,Finders+Keepers,/movie/bi/mi/basic.naver?code=134573
4987,Mr. Calzaghe,2015,Mr.+Calzaghe,0
5001,The Vikings,1958,The+Vikings,/movie/bi/mi/basic.naver?code=17843
5002,The Soloist,2009,The+Soloist,/movie/bi/mi/basic.naver?code=52424
5012,Apostasy,2017,Apostasy,/movie/bi/mi/basic.naver?code=167746
5022,Next,2007,Next,/movie/bi/mi/basic.naver?code=66402
5025,Taking Chance,2009,Taking+Chance,/movie/bi/mi/basic.naver?code=52568
5035,In the Soup,1992,In+the+Soup,0
5042,The Ultimate Gift,2006,The+Ultimate+Gift,/movie/bi/mi/basic.naver?code=66345
5049,Admiral,2015,Admiral,/movie/bi/mi/basic.naver?code=138030
5056,The Fencer,2015,The+Fencer,0
5059,Two Hands,1999,Two+Hands,/movie/bi/mi/basic.naver?code=34966
5068,Narco Cultura,2013,Narco+Cultura,/movie/bi/mi/basic.naver?code=102358
5069,Harmontown,2014,Harmontown,/movie/bi/mi/basic.naver?code=129250
